N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N1;PE;11476;PNSU;54048;2047093;AMPLIACION DE RED DE AGUA Y ALCANTARILLADO EN LA LOCALIDAD DE LA CRUZ Y ANEXOS DISTRITO DE LA CRUZ, PROVINCIA DE TUMBES - TUMBES (SALDO DE OBRA);MUNICIPALIDAD PROVINCIAL DE TUMBES;TUMBES;TUMBES;LA CRUZ;271;14684732;Transferencia;Indirecta;OBRA (Expediente Saldo);En elaboración
N2;PE;11476;PNSU;125106;2103979;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE KELLUYO, DISTRITO DE KELLUYO - CHUCUITO - PUNO;MUNICIPALIDAD DISTRITAL DE KELLUYO;PUNO;CHUCUITO;KELLUYO;3100;3655279.84;Transferencia;Indirecta;OBRA;Concluido
N3;PE;11476;PNSU;82929;2088916;INSTALACION DE MICROMEDIDORES EN PRIMER PISO DE LA LOCALIDAD DE BELLAVISTA - PROVINCIA DE BELLAVISTA - DEPARTAMENTO DE SAN MARTIN;EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN S.A.;SAN MARTIN;BELLAVISTA;BELLAVISTA;5387;299712;Transferencia;Directa;OBRA;Concluido
N4;PE;11476;PNSU;84795;2074310;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE POROTO, DISTRITO DE POROTO - TRUJILLO - LA LIBERTAD;MUNICIPALIDAD DISTRITAL DE POROTO;LA LIBERTAD;TRUJILLO;POROTO;1122;2310000;Transferencia;Indirecta;OBRA;Concluido
N5;PE;11476;PNSU;37678;2085810;AMPLIACION Y MEJORAMIENTO DE LOS SISTEMAS DE AGUA Y DESAGUE DE LOS BARRIOS ASUNCION Y SAN PEDRO DE CHANGO-CHACAYAN;GOBIERNO REGIONAL PASCO;PASCO;DANIEL ALCIDES CARRION;CHACAYAN;1639;828897;Transferencia;Indirecta;OBRA;Concluido
N6;PE;11476;PNSU;146223;2128517;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CENTRO POBLADO DE CHAUCHA, DISTRITO DE AMBO, PROVINCIA DE AMBO - HUANUCO;MUNICIPALIDAD DISTRITAL DE AMBO;HUANUCO;AMBO;AMBO;780;2370759.81;Transferencia;Indirecta;OBRA;Concluido
N7;PE;11476;PNSU;40119;2053769;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN EL CENTRO POBLADO DE SAMANCO, PROVINCIA DE SANTA - ANCASH;MUNICIPALIDAD DISTRITAL DE SAMANCO;ANCASH;SANTA;SAMANCO;4791;1522906;Transferencia;Indirecta;OBRA;Concluido
N8;PE;11476;PNSU;56465;2052248;INSTALACION DEL SISTEMA DE DESAGUE EN TABLAZOS ., DISTRITO DE CHONGOYAPE - CHICLAYO - LAMBAYEQUE;MUNICIPALIDAD DISTRITAL DE CHONGOYAPE;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;530;225978;Transferencia;Directa;OBRA;Concluido
N9;PE;11476;PNSU;107036;2101654;INSTALACION DE OBRAS COMPLEMENTARIAS PARA EL SANEAMIENTO BASICO EN LA ASOCIACION ADEICOSUR DEL PIVES, DISTRITO DE VILLA EL SALVADOR - LIMA - LIMA;MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR;LIMA;LIMA;VILLA EL SALVADOR;270;328601;Transferencia;;OBRA;Actos Previos
N10;PE;11476;PNSU;44751;2047469;AMPLIACION, MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DE KIMBIRI, DISTRITO DE KIMBIRI - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE KIMBIRI;CUSCO;LA CONVENCION;KIMBIRI;6770;14838226;Transferencia;Indirecta;OBRA;Concluido
